S1_ActualPosition,X1_OutputCurrent,S1_OutputCurrent,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputPower,Y1_OutputVoltage,Z1_ActualPosition,X1_OutputVoltage,Y1_DCBusVoltage,S1_CurrentFeedback,tool_condition,Y1_CurrentFeedback,X1_CurrentFeedback,Y1_OutputPower,S1_CommandPosition,S1_DCBusVoltage,Y1_ActualAcceleration,S1_OutputPower,S1_ActualAcceleration,S1_ActualVelocity,Y1_ActualVelocity,X1_ActualAcceleration,Z1_ActualVelocity,X1_ActualVelocity,successful_part,experiment_id,time_step
-1.1750278667446263,0.26040904185197716,0.8399221035230839,0.1410640768616945,-1.0315442325801367,-0.4306325542887556,-0.5974181967454806,1.6269421927202152,-0.8344522728352252,-0.8116674266169229,-1.1348638396084472,-1.2466832667607395,-0.11725216031223765,-0.017288830857314644,-0.33980678072134085,-1.175243979516629,-1.21350191927403,0.10260417054231406,-1.2406360314662175,-0.02359751556404274,-1.2973680584856362,0.08213640760873722,-0.010060010754791435,0.04974187019993216,0.054519393978835526,0,5,0
-1.1750278667446263,0.8730365380604668,1.052576907811927,0.1410640768616945,-1.0220930613300356,-0.4288598693196302,-0.7222235881671271,1.6269421927202152,-0.7988197022981656,-0.8478898657052482,-1.2106506346986414,-1.2466832667607395,0.04285829922229896,-0.054930534245549716,-0.33990425279541253,-1.175243979516629,-1.21350191927403,0.10260417054231406,-1.240649029610144,0.009008837547523367,-1.2972901003866109,0.08213640760873722,-0.010060010754791435,0.04974187019993216,0.054519393978835526,0,5,1
-1.1750278667446263,0.26040904185197716,0.8399221035230839,0.1410640768616945,-1.0362698182051875,-0.429465045759241,-0.5199116638562417,1.6269421927202152,-0.628730694900721,-0.6172101220374927,-1.150757515829969,-1.2466832667607395,-0.10591100276187462,0.3612588654809738,-0.3387264652337127,-1.175243979516629,-1.21350191927403,0.04287106998634688,-1.2406598898266357,-0.015445927286151212,-1.2973290794361234,0.07861718597492712,-0.010060010754791435,0.04974187019993216,0.054519393978835526,0,5,2
-1.1750278667446263,0.26040904185197716,0.8399221035230839,0.1410640768616945,-1.0669861247680164,-0.43008093328627856,-0.6727386479378437,1.6269421927202152,-0.7126986858943962,-0.6686841144261655,-1.1349536343893598,-1.2466832667607395,0.013082201261640005,-0.054930534245549716,-0.3380116700238535,-1.175243979516629,-1.21350191927403,0.10260417054231406,-1.240655591227857,0.009008837547523367,-1.2972901003866109,0.08213640760873722,0.10349250110587635,0.04974187019993216,0.05816946554780786,0,5,3
-1.1750278667446263,0.8730365380604668,0.8399221035230839,0.5933277443269727,-1.1024280169558958,-0.42994383136721626,-0.5795320737710409,1.6269421927202152,-0.765447808441705,-0.8288254240798139,-1.0970602368442628,-1.2466832667607395,-0.005441689403952911,-0.16880260550178283,-0.33936815638801815,-1.175243979516629,-1.21350191927403,0.04287106998634688,-1.240701875082434,-0.02157592167112564,-1.2973972927727708,0.07861718597492712,-0.12361252261545921,0.04686453532478497,0.050869322409863194,0,5,4
-1.1750278667446263,0.26040904185197716,0.8399221035230839,0.1410640768616945,-1.000827926017308,-0.42917584639871903,-0.642928442980444,1.6269421927202152,-0.7891310879527416,-0.7945094291540321,-1.1349536343893598,-1.2466832667607395,-0.08745382478775442,0.20998183110938762,-0.3389132867090168,-1.175243979516629,-1.21350191927403,0.10260417054231406,-1.2406366000639395,-0.02359751556404274,-1.2973680584856362,0.08213640760873722,-0.010060010754791435,0.04974187019993216,0.054519393978835526,0,5,5
-1.1750278667446263,0.8730365380604668,0.8399221035230839,0.1410640768616945,-1.074074503205592,-0.4292776017292731,-0.6589265863075818,1.6269421927202152,-0.7805189863123646,-0.7544741017406199,-1.123908876337116,-1.2466832667607395,-0.05765548926327122,0.020589612803802396,-0.33936815638801815,-1.175243979516629,-1.21350191927403,0.04287106998634688,-1.2406359177466728,-0.031749103841934266,-1.2973680584856362,0.07861718597492712,-0.010060010754791435,0.04686453532478497,0.054519393978835526,0,5,6
-1.1750278667446263,0.8730365380604668,0.8399221035230839,0.1410640768616945,-0.9748372050795296,-0.42933651271012013,-0.5159369698619216,1.6269421927202152,-0.6427253600663335,-0.6305552311752969,-1.0970602368442628,-1.2466832667607395,-0.10613337840011702,-0.320316380146251,-0.3406434160237897,-1.175243979516629,-1.21350191927403,0.10260417054231406,-1.240655591227857,-0.02359751556404274,-1.2973680584856362,0.08213640760873722,-0.010060010754791435,0.04974187019993216,0.054519393978835526,0,5,7
-1.1750278667446263,0.26040904185197716,1.052576907811927,0.1410640768616945,-1.097702431330845,-0.43203035119794514,-0.6003992172412206,1.6269421927202152,-0.7449940670458097,-0.7868836525038584,-1.150757515829969,-1.2466832667607395,0.16583202717035272,0.13415392170528895,-0.33882393730778443,-1.175243979516629,-1.21350191927403,0.16281513590272897,-1.240641148845716,-0.007294339008259685,-1.2972901003866109,0.08213640760873722,0.1607229670836529,0.04686453532478497,0.05816946554780786,0,5,8
-1.1750278667446263,0.8730365380604668,1.052576907811927,0.1410640768616945,-1.024455854142561,-0.43008093328627856,-0.6964874445539053,1.6269421927202152,-0.7891310879527416,-0.8269189799172705,-1.123908876337116,-1.2466832667607395,0.01303772613399152,-0.1309241618406658,-0.3388564279991417,-1.175243979516629,-1.21350191927403,-0.016862030569620316,-1.2406321650017074,-0.015445927286151212,-1.2973290794361234,0.07861718597492712,0.10349250110587635,0.05261920507507935,0.05816946554780786,0,5,9
