S1_ActualPosition,X1_DCBusVoltage,S1_OutputCurrent,X1_OutputPower,X1_OutputVoltage,X1_OutputCurrent,Y1_OutputCurrent,Y1_DCBusVoltage,Y1_OutputVoltage,X1_CurrentFeedback,S1_CurrentFeedback,Z1_ActualPosition,Y1_OutputPower,Y1_CurrentFeedback,S1_CommandPosition,Y1_ActualAcceleration,S1_OutputPower,S1_ActualAcceleration,Y1_ActualVelocity,tool_condition,X1_ActualVelocity,X1_ActualAcceleration,S1_DCBusVoltage,Y1_ActualPosition,S1_ActualVelocity,successful_part,experiment_id,time_step
-1340.0,0.0585,324.0,0.000328,8.07,326.0,325.0,0.0847,5.58,4.16,16.3,28.7,7.86e-05,3.52,-1340.0,56.3,0.139,59.9,0.6,1,2.97,12.5,0.741,105.0,53.5,1,13,0
-1340.0,0.0716,323.0,0.00043,11.0,327.0,325.0,0.0451,3.67,1.8,27.9,28.7,6.77e-06,1.6,-1340.0,37.5,0.183,-29.9,0.2,1,3.1,0.0,0.968,105.0,53.2,1,13,1
-1330.0,0.089,323.0,0.000526,11.2,327.0,326.0,0.024,2.38,4.19,19.4,28.7,-2.71e-06,0.712,-1330.0,0.0,0.192,16.0,0.0,1,2.92,31.3,0.99,105.0,53.4,1,13,2
-1330.0,0.0883,324.0,0.000525,10.2,327.0,326.0,0.0286,2.16,5.05,16.5,28.7,-3.3e-06,0.755,-1330.0,-6.25,0.143,40.1,-0.025,1,2.9,6.25,0.752,105.0,53.5,1,13,3
-1320.0,0.0607,323.0,0.000331,8.51,327.0,326.0,0.028,1.29,3.35,26.7,28.7,3.12e-06,1.56,-1320.0,-12.5,0.191,-78.2,-0.025,1,3.0,25.0,1.0,105.0,53.2,1,13,4
-1320.0,0.0783,323.0,0.000482,9.12,327.0,325.0,0.0249,1.78,4.69,17.5,28.7,4.62e-06,0.799,-1320.0,6.25,0.161,41.4,0.025,1,3.05,6.25,0.845,105.0,53.4,1,13,5
-1310.0,0.071,324.0,0.000442,9.48,327.0,326.0,0.0264,0.974,2.96,23.0,28.7,2.31e-06,1.26,-1310.0,-6.25,0.168,-10.2,0.0,1,3.1,-6.25,0.878,105.0,53.3,1,13,6
-1310.0,0.0885,323.0,0.000612,9.47,327.0,325.0,0.0275,1.49,4.85,25.7,28.7,3.03e-06,1.56,-1310.0,0.0,0.2,-59.3,0.0,1,3.2,37.5,1.05,105.0,53.2,1,13,7
-1300.0,0.102,323.0,0.000695,10.4,327.0,326.0,0.0297,2.18,5.15,18.4,28.7,0.0,0.0314,-1300.0,0.0,0.162,40.4,0.0,1,3.13,31.3,0.847,105.0,53.4,1,13,8
-1290.0,0.103,323.0,0.000641,11.1,327.0,325.0,0.029,2.56,5.46,21.7,28.7,0.0,1.48,-1290.0,0.0,0.164,-12.8,0.0,1,2.95,12.5,0.849,105.0,53.4,1,13,9
-2060.0,0.1,329.0,0.00368,29.3,329.0,327.0,0.156,48.8,-4.6,0.015,64.0,0.0108,-9.05,-2060.0,-43.8,1.17e-06,0.687,-32.5,1,-18.0,0.0,2.77e-19,105.0,0.00175,1,13,10
-2060.0,0.0924,329.0,0.00334,29.5,329.0,327.0,0.167,50.5,-6.09,0.13,60.9,0.0114,-7.98,-2060.0,6.25,7.6e-07,0.75,-32.5,1,-18.1,-56.3,2.77e-19,102.0,0.001,1,13,11
-2060.0,0.103,329.0,0.00393,30.1,329.0,327.0,0.157,47.3,-6.69,0.313,57.5,0.0108,-7.72,-2060.0,-31.3,0.0,-0.625,-32.5,1,-18.0,-12.5,2.77e-19,98.8,-0.00175,1,13,12
-2060.0,0.145,329.0,0.00561,30.0,329.0,327.0,0.183,48.6,-7.6,0.198,54.2,0.0122,-13.5,-2060.0,75.0,1.3e-06,-0.0625,-32.2,1,-17.9,-50.0,2.77e-19,95.6,0.00075,1,13,13
-2060.0,0.115,329.0,0.00426,27.1,329.0,327.0,0.188,50.2,-7.07,0.429,50.8,0.0127,-11.7,-2060.0,12.5,-4.42e-06,0.25,-32.2,1,-17.9,31.3,2.77e-19,92.4,0.0,1,13,14
