S1_ActualPosition,X1_DCBusVoltage,S1_OutputCurrent,X1_OutputPower,X1_OutputVoltage,X1_OutputCurrent,Y1_OutputCurrent,Y1_DCBusVoltage,Y1_OutputVoltage,X1_CurrentFeedback,S1_CurrentFeedback,Z1_ActualPosition,Y1_OutputPower,Y1_CurrentFeedback,S1_CommandPosition,Y1_ActualAcceleration,S1_OutputPower,S1_ActualAcceleration,Y1_ActualVelocity,tool_condition,X1_ActualVelocity,X1_ActualAcceleration,S1_DCBusVoltage,Y1_ActualPosition,S1_ActualVelocity,successful_part,experiment_id,time_step
339.0,0.0252,329.0,4.3e-07,0.576,330.0,328.0,0.015,2.21,0.34,0.453,119.0,1.35e-07,-0.42,339.0,6.25,1.12e-06,0.188,0.025,0,-0.025,-12.5,2.75e-19,158.0,0.00075,1,3,0
339.0,0.0226,329.0,0.0,1.79,329.0,328.0,0.0163,1.69,-0.459,0.157,119.0,-3.61e-07,0.223,339.0,12.5,-8.86e-07,-0.25,0.05,0,0.025,18.8,2.75e-19,158.0,-0.002,1,3,1
339.0,0.017,329.0,-1.14e-06,0.929,329.0,328.0,0.0209,0.496,-0.459,0.363,119.0,1.55e-06,0.854,339.0,6.25,9.36e-07,0.25,0.025,0,0.025,6.25,2.75e-19,158.0,0.001,1,3,2
339.0,0.0171,329.0,-1.53e-07,1.36,329.0,328.0,0.0261,2.18,0.659,0.157,119.0,0.0,-0.42,339.0,6.25,-9.88e-07,-1.56,0.025,0,0.0,6.25,2.75e-19,158.0,-0.00325,1,3,3
339.0,0.0222,329.0,1.32e-06,2.66,329.0,328.0,0.0313,1.77,-1.42,0.363,119.0,1.67e-07,0.0613,339.0,6.25,2.43e-06,1.0,0.0,0,0.0,-6.25,2.75e-19,158.0,0.002,1,3,4
339.0,0.025,329.0,-1.44e-06,1.74,330.0,328.0,0.0241,0.687,-0.459,0.17,119.0,-9.01e-07,0.538,339.0,-12.5,-1.07e-06,0.0,-0.025,0,-0.025,-6.25,2.75e-19,158.0,-0.001,1,3,5
339.0,0.0157,329.0,0.0,1.74,330.0,328.0,0.0162,0.282,0.659,0.26,119.0,-3.58e-07,0.696,339.0,6.25,-8.85e-07,0.0,0.025,0,0.0,0.0,2.75e-19,158.0,0.0,1,3,6
339.0,0.0207,329.0,0.0,2.07,329.0,328.0,0.014,2.3,0.979,0.453,119.0,-2.83e-07,-0.578,339.0,12.5,0.0,0.5,0.025,0,0.025,12.5,2.75e-19,158.0,0.001,1,3,7
339.0,0.0172,329.0,0.0,1.51,330.0,328.0,0.0184,1.82,-0.62,-0.0236,119.0,1.33e-07,-0.424,339.0,6.25,1.4e-06,-0.25,0.025,0,0.0,0.0,2.75e-19,158.0,-0.001,1,3,8
339.0,0.0202,329.0,6.53e-07,0.837,330.0,328.0,0.0154,2.86,0.02,0.26,119.0,3.12e-07,-0.736,339.0,6.25,-1.1e-06,-0.188,0.025,0,0.0,0.0,2.75e-19,158.0,-0.002,1,3,9
428.0,0.0607,323.0,0.000334,6.14,327.0,325.0,0.073,11.5,-5.36,21.5,29.5,0.000796,2.94,428.0,43.8,0.149,-19.2,5.45,0,-3.15,43.8,0.784,75.3,53.3,1,3,10
433.0,0.101,316.0,0.000537,8.54,326.0,325.0,0.0934,13.1,-5.75,24.8,29.5,0.00106,5.38,434.0,-62.5,0.161,28.4,5.5,0,-2.45,-6.25,0.847,75.9,53.4,1,3,11
439.0,0.0977,318.0,0.00033,7.6,326.0,325.0,0.148,17.2,-4.58,18.9,29.5,0.0019,6.29,439.0,62.5,0.183,-18.2,5.97,0,-1.75,-25.0,0.945,76.4,53.3,1,3,12
444.0,0.07,317.0,0.000155,4.93,327.0,325.0,0.153,15.7,-3.1,21.8,29.5,0.00192,8.64,444.0,31.3,0.192,24.0,5.8,0,-0.95,-6.25,1.01,77.0,53.3,1,3,13
449.0,0.0725,321.0,-2.31e-05,6.61,327.0,325.0,0.0999,14.9,-5.58,20.2,29.5,0.00123,5.38,449.0,31.3,0.194,24.5,5.8,0,-0.025,100.0,1.0,77.6,53.3,1,3,14
455.0,0.09,319.0,0.0012,13.0,326.0,325.0,0.0221,2.06,4.19,17.4,29.5,-4.52e-06,-1.71,455.0,37.5,0.159,11.4,0.175,0,6.35,-56.3,0.824,77.9,53.4,1,3,15
460.0,0.0766,322.0,0.000926,14.5,327.0,325.0,0.0167,2.99,4.77,20.0,29.5,-2.96e-06,0.0711,460.0,6.25,0.172,-59.4,0.0,0,5.9,-75.0,0.898,77.9,53.3,1,3,16
465.0,0.0775,321.0,0.000972,13.7,326.0,325.0,0.0152,0.528,4.19,18.1,29.5,1.68e-06,-0.49,465.0,6.25,0.176,45.5,0.025,0,6.15,6.25,0.917,77.9,53.4,1,3,17
470.0,0.0978,322.0,0.00119,13.5,326.0,325.0,0.0327,1.97,4.69,23.0,29.5,0.0,-1.06,471.0,-12.5,0.191,-36.5,-0.025,0,6.0,6.25,0.99,77.9,53.2,1,3,18
476.0,0.114,318.0,0.00152,13.9,326.0,325.0,0.016,1.36,6.38,25.0,29.5,-1.63e-06,-0.6,476.0,-12.5,0.201,-14.6,-0.025,0,6.0,18.8,1.05,77.9,53.2,1,3,19
